year,month,month_name,south,west,midwest,northeast
1968,1,January,35.6,17,22.6,12.9
1968,2,February,31.5,18.6,23.3,9.7
1968,3,March,42.5,17.4,24.4,10.7
1968,4,April,42.9,20.6,27,12
1968,5,May,46.2,20,25.1,20
1968,6,June,37.7,23.2,26.9,16.8
1968,7,July,50.3,21.2,25.7,20.1
1968,8,August,46.6,23.1,33.4,15.3
1968,9,September,48.7,22,37.9,27
1968,10,October,50.2,23,34.2,20.5
1968,11,November,45.7,18.4,35.8,14.4
1968,12,December,49.8,21.6,31.2,19.5
1969,1,January,40.1,19.7,18,11
1969,2,February,34.8,23,23.3,14.9
1969,3,March,53.3,21.1,23.5,17
1969,4,April,38.1,20.9,24.9,14.8
1969,5,May,50.9,22.8,26.4,17.9
1969,6,June,53.7,23.5,31.6,22.9
1969,7,July,46.5,25.4,27.3,19.5
1969,8,August,45.8,22.3,36.7,21.5
1969,9,September,48.4,24.5,39.8,21
1969,10,October,49.4,28.4,35.2,23.5
1969,11,November,38.9,26.4,29.6,18.1
1969,12,December,53.2,23.4,28.4,17.7
1970,1,January,43.7,25.2,23.1,13.2
1970,2,February,39.6,24.5,19.6,13.2
1970,3,March,40,25,17.5,13.3
1970,4,April,43.9,24.4,24.3,10.8
1970,5,May,40.5,22.9,28.3,15.9
1970,6,June,60.1,25.8,29.9,15
1970,7,July,45.5,28.5,25.8,17.6
1970,8,August,65.9,28.8,34.5,18.4
1970,9,September,49.7,31.2,29.7,18.3
1970,10,October,62.6,25.7,34.6,18.1
1970,11,November,52.4,25.7,28.1,14.3
1970,12,December,50.9,27.8,27.9,16.9
1971,1,January,46.8,22.3,24,14.2
1971,2,February,45.1,24.1,14.3,14.9
1971,3,March,50,28.8,17.7,11.7
1971,4,April,60.6,32.3,25.1,15.2
1971,5,May,60.4,30.3,27.1,15.9
1971,6,June,63.4,30.8,28.7,21.4
1971,7,July,62.3,36.7,28.5,18
1971,8,August,69.3,43.1,37.9,21.2
1971,9,September,65.5,38.2,40.2,26
1971,10,October,66.4,43.5,37.7,27.1
1971,11,November,63.7,34.2,34.2,21
1971,12,December,73.6,40.9,32.8,19.1
1972,1,January,67.6,32.8,26.6,18.2
1972,2,February,61.2,35.8,27.5,19
1972,3,March,61.4,34.1,28.4,21
1972,4,April,64.9,34.6,30.3,18.6
1972,5,May,61.8,39.4,32.7,19.5
